id,Demand
0,814.53784
1,146.44778
2,106.04453
3,114.15422
4,111.02632
5,118.571976
6,124.64477
7,96.157936
8,89.98904
9,116.04191
10,102.20917
11,101.48609
12,91.01377
13,101.47521
14,109.76273
15,114.165436
16,77.604
17,70.329994
18,61.493423
19,47.191193
20,36.88269
21,40.98938
22,655.987
23,712.3492
24,667.3232
25,747.61914
26,649.5484
27,439.03076
28,823.8282
29,158.92296
30,114.55994
31,108.072624
32,111.08995
33,122.10844
34,125.7786
35,97.3264
36,97.06143
37,108.25097
38,106.32922
39,107.6438
40,90.61605
41,93.793365
42,108.84779
43,108.389404
44,83.51184
45,71.63783
46,71.244804
47,51.44278
48,45.35048
49,36.89325
50,685.54846
51,640.1525
52,779.88025
53,783.9528
54,656.54425
55,549.80945
56,795.48755
57,164.3735
58,106.4619
59,108.97055
60,116.357704
61,128.62552
62,120.10758
63,90.82282
64,97.21819
65,114.342354
66,114.270706
67,107.09022
68,90.61605
69,95.548584
70,109.89109
71,94.47493
72,77.51278
73,76.29199
74,76.89641
75,43.91632
76,39.12982
77,35.85692
78,681.74084
79,705.363
80,669.5621
81,833.6002
82,687.8999
83,580.27277
84,779.67865
85,160.40045
86,116.85499
87,110.89291
88,112.26551
89,121.502556
90,126.550255
91,90.214874
92,89.98812
93,87.865555
94,110.37711
95,102.146805
96,90.62105
97,103.89159
98,115.25833
99,94.232994
100,70.946304
101,91.88022
102,84.340515
103,51.677475
104,38.710785
105,28.608444
106,673.8525
107,712.32074
108,695.56445
109,758.3018
110,697.18506
111,529.1653
112,775.04974
113,149.9661
114,112.45013
115,106.84417
116,109.5576
117,118.47132
118,119.18995
119,96.30108
120,97.21145
121,105.64744
122,110.433266
123,102.500275
124,91.92754
125,95.57536
126,109.87064
127,104.01085
128,70.97958
129,69.886116
130,71.85992
131,43.40245
132,50.60768
133,45.63614
134,658.58325
135,505.64642
136,592.6826
137,756.46405
138,694.54865
139,531.4985
140,756.22424
141,148.05981
142,117.53773
143,108.917305
144,116.14038
145,122.8265
146,119.60591
147,90.97636
148,97.44443
149,114.99412
150,113.4938
151,104.60972
152,90.66084
153,103.7196
154,112.6093
155,108.38982
156,81.73102
157,81.78732
158,75.68817
159,41.986282
160,41.929855
161,29.051758
162,632.00903
163,629.958
164,666.5255
165,718.27576
166,668.6958
167,550.1361
168,832.26886
169,151.21326
170,113.78622
171,115.6497
172,108.84934
173,119.52186
174,125.55185
175,90.50617
176,89.841705
177,111.10125
178,110.556206
179,100.20185
180,90.61605
181,98.110756
182,110.611244
183,92.13524
184,60.850754
185,74.25327
186,81.377075
187,59.84317
188,48.4366
189,40.52806
190,665.0709
191,636.8928
192,723.3569
193,769.71967
194,631.2071
195,489.9566
196,811.31036
197,152.15947
198,108.33091
199,109.18119
200,117.06812
201,128.37936
202,126.98998
203,97.822334
204,97.339325
205,107.66617
206,105.74259
207,101.28794
208,90.63612
209,103.0407
210,112.42421
211,113.72314
212,88.84992
213,80.29151
214,84.93786
215,53.673172
216,41.413544
217,41.867508
218,634.1364
219,665.599
220,700.7042
221,754.84784
222,570.92395
223,560.6571
224,775.9056
225,148.25023
226,113.82292
227,117.96194
228,109.17486
229,129.7853
230,126.15627
231,96.686134
232,90.88911
233,108.32527
234,108.38617
235,99.26733
236,94.25801
237,98.06362
238,114.45446
239,91.67893
240,63.694016
241,78.405876
242,93.27769
243,40.334198
244,46.66211
245,38.953247
246,646.0275
247,652.4782
248,724.64685
249,677.6529
250,641.7433
251,540.9326
252,804.8809
253,147.9072
254,102.84437
255,110.59001
256,118.52384
257,119.64486
258,125.497086
259,97.07491
260,97.29573
261,108.837715
262,105.03691
263,105.75002
264,90.61605
265,95.08223
266,111.91067
267,79.1112
268,84.75209
269,89.11909
270,71.66759
271,45.69516
272,50.817413
273,32.5235
274,628.01624
275,686.1222
276,652.0455
277,744.8327
278,621.72
279,673.89734
280,807.1116
